periodo,fecha,cve_ent,Estado,Sigla,sexo,tipo_paciente,positivos,fallecimientos,sospechosos,merge
2020-04-14,14/04/2020,19,Nuevo León,NL,2,2,9,2,75,0
2020-04-14,14/04/2020,20,Oaxaca,Oax,1,1,20,0,25,0
2020-04-14,14/04/2020,20,Oaxaca,Oax,1,2,4,1,11,0
2020-04-14,14/04/2020,20,Oaxaca,Oax,2,1,16,2,13,0
2020-04-14,14/04/2020,20,Oaxaca,Oax,2,2,6,1,14,0
2020-04-14,14/04/2020,21,Puebla,Pue,1,1,91,0,122,0
2020-04-14,14/04/2020,21,Puebla,Pue,1,2,36,6,43,0
2020-04-14,14/04/2020,21,Puebla,Pue,2,1,88,2,105,0
2020-04-14,14/04/2020,21,Puebla,Pue,2,2,63,21,48,0
2020-04-14,14/04/2020,22,Querétaro,Qro,1,1,22,1,30,0
2020-04-14,14/04/2020,22,Querétaro,Qro,1,2,7,0,9,0
2020-04-14,14/04/2020,22,Querétaro,Qro,2,1,23,0,26,0
2020-04-14,14/04/2020,22,Querétaro,Qro,2,2,11,3,5,0
2020-04-14,14/04/2020,23,Quintana Roo,Q. Roo,1,1,51,0,70,0
2020-04-14,14/04/2020,23,Quintana Roo,Q. Roo,1,2,29,6,21,0
2020-04-14,14/04/2020,23,Quintana Roo,Q. Roo,2,1,83,1,75,0
2020-04-14,14/04/2020,23,Quintana Roo,Q. Roo,2,2,85,18,37,0
2020-04-14,14/04/2020,24,San Luis Potosí,SLP,1,1,25,0,38,0
2020-04-14,14/04/2020,24,San Luis Potosí,SLP,1,2,1,0,22,0
2020-04-14,14/04/2020,24,San Luis Potosí,SLP,2,1,20,0,34,0
2020-04-14,14/04/2020,24,San Luis Potosí,SLP,2,2,8,4,21,0
2020-04-14,14/04/2020,25,Sinaloa,Sin,1,1,56,2,118,0
2020-04-14,14/04/2020,25,Sinaloa,Sin,1,2,56,13,29,0
2020-04-14,14/04/2020,25,Sinaloa,Sin,2,1,51,1,94,0
2020-04-14,14/04/2020,25,Sinaloa,Sin,2,2,97,18,53,0
2020-04-14,14/04/2020,26,Sonora,Son,1,1,20,0,66,0
2020-04-14,14/04/2020,26,Sonora,Son,1,2,20,7,33,0
2020-04-14,14/04/2020,26,Sonora,Son,2,1,25,0,54,0
2020-04-14,14/04/2020,26,Sonora,Son,2,2,10,2,20,0
2020-04-14,14/04/2020,27,Tabasco,Tab,1,1,76,2,143,0
2020-04-14,14/04/2020,27,Tabasco,Tab,1,2,21,6,15,0
2020-04-14,14/04/2020,27,Tabasco,Tab,2,1,68,3,158,0
2020-04-14,14/04/2020,27,Tabasco,Tab,2,2,32,9,25,0
2020-04-14,14/04/2020,28,Tamaulipas,Tamps,1,1,23,0,57,0
2020-04-14,14/04/2020,28,Tamaulipas,Tamps,1,2,4,2,20,0
2020-04-14,14/04/2020,28,Tamaulipas,Tamps,2,1,26,1,76,0
2020-04-14,14/04/2020,28,Tamaulipas,Tamps,2,2,6,0,27,0
2020-04-14,14/04/2020,29,Tlaxcala,Tlax,1,1,19,0,75,0
2020-04-14,14/04/2020,29,Tlaxcala,Tlax,1,2,3,1,8,0
2020-04-14,14/04/2020,29,Tlaxcala,Tlax,2,1,18,1,53,0
2020-04-14,14/04/2020,29,Tlaxcala,Tlax,2,2,9,2,10,0
2020-04-14,14/04/2020,30,Veracruz,Ver,1,1,29,0,205,0
2020-04-14,14/04/2020,30,Veracruz,Ver,1,2,18,3,30,0
2020-04-14,14/04/2020,30,Veracruz,Ver,2,1,31,0,155,0
2020-04-14,14/04/2020,30,Veracruz,Ver,2,2,22,2,37,0
2020-04-14,14/04/2020,31,Yucatán,Yuc,1,1,52,0,63,0
2020-04-14,14/04/2020,31,Yucatán,Yuc,1,2,4,2,12,0
2020-04-14,14/04/2020,31,Yucatán,Yuc,2,1,46,0,61,0
2020-04-14,14/04/2020,31,Yucatán,Yuc,2,2,17,5,16,0
2020-04-14,14/04/2020,32,Zacatecas,Zac,1,1,4,0,28,0
2020-04-14,14/04/2020,32,Zacatecas,Zac,1,2,1,0,6,0
2020-04-14,14/04/2020,32,Zacatecas,Zac,2,1,6,0,17,0
2020-04-14,14/04/2020,32,Zacatecas,Zac,2,2,7,2,11,0
2020-04-15,15/04/2020,1,Aguascalientes,Ags,1,1,29,0,32,0
2020-04-15,15/04/2020,1,Aguascalientes,Ags,1,2,3,0,5,0
2020-04-15,15/04/2020,1,Aguascalientes,Ags,2,1,28,0,38,0
2020-04-15,15/04/2020,1,Aguascalientes,Ags,2,2,5,1,8,0
2020-04-15,15/04/2020,2,Baja California,BC,1,1,139,0,221,0
2020-04-15,15/04/2020,2,Baja California,BC,1,2,73,6,119,0
2020-04-15,15/04/2020,2,Baja California,BC,2,1,145,0,170,0
2020-04-15,15/04/2020,2,Baja California,BC,2,2,106,22,162,0
2020-04-15,15/04/2020,3,Baja California Sur,BCS,1,1,69,0,133,0
2020-04-15,15/04/2020,3,Baja California Sur,BCS,1,2,6,1,19,0
2020-04-15,15/04/2020,3,Baja California Sur,BCS,2,1,81,3,90,0
2020-04-15,15/04/2020,3,Baja California Sur,BCS,2,2,9,2,17,0
2020-04-15,15/04/2020,4,Campeche,Camp,1,1,5,0,13,0
2020-04-15,15/04/2020,4,Campeche,Camp,1,2,3,0,4,0
2020-04-15,15/04/2020,4,Campeche,Camp,2,1,15,0,9,0
2020-04-15,15/04/2020,4,Campeche,Camp,2,2,5,1,5,0
2020-04-15,15/04/2020,5,Coahuila,Coah,1,1,77,1,441,0
2020-04-15,15/04/2020,5,Coahuila,Coah,1,2,11,5,63,0
2020-04-15,15/04/2020,5,Coahuila,Coah,2,1,100,1,397,0
2020-04-15,15/04/2020,5,Coahuila,Coah,2,2,11,6,51,0
2020-04-15,15/04/2020,6,Colima,Col,1,1,2,0,7,0
2020-04-15,15/04/2020,6,Colima,Col,1,2,1,0,5,0
2020-04-15,15/04/2020,6,Colima,Col,2,1,3,0,10,0
2020-04-15,15/04/2020,6,Colima,Col,2,2,2,0,10,0
2020-04-15,15/04/2020,7,Chiapas,Chis,1,1,9,0,23,0
2020-04-15,15/04/2020,7,Chiapas,Chis,1,2,3,0,12,0
2020-04-15,15/04/2020,7,Chiapas,Chis,2,1,28,0,30,0
2020-04-15,15/04/2020,7,Chiapas,Chis,2,2,9,3,11,0
2020-04-15,15/04/2020,8,Chihuahua,Chih,1,1,9,0,50,0
2020-04-15,15/04/2020,8,Chihuahua,Chih,1,2,22,5,46,0
2020-04-15,15/04/2020,8,Chihuahua,Chih,2,1,10,0,55,0
2020-04-15,15/04/2020,8,Chihuahua,Chih,2,2,43,15,53,0
2020-04-15,15/04/2020,9,Ciudad de México,CDMX,1,1,418,3,815,0
2020-04-15,15/04/2020,9,Ciudad de México,CDMX,1,2,173,19,171,0
2020-04-15,15/04/2020,9,Ciudad de México,CDMX,2,1,516,7,678,0
2020-04-15,15/04/2020,9,Ciudad de México,CDMX,2,2,373,63,287,0
2020-04-15,15/04/2020,10,Durango,Dgo,1,1,6,0,42,0
2020-04-15,15/04/2020,10,Durango,Dgo,1,2,2,1,16,0
2020-04-15,15/04/2020,10,Durango,Dgo,2,1,6,0,31,0
2020-04-15,15/04/2020,10,Durango,Dgo,2,2,4,3,6,0
2020-04-15,15/04/2020,11,Guanajuato,Gto,1,1,37,0,87,0
2020-04-15,15/04/2020,11,Guanajuato,Gto,1,2,13,1,15,0
2020-04-15,15/04/2020,11,Guanajuato,Gto,2,1,31,0,63,0
2020-04-15,15/04/2020,11,Guanajuato,Gto,2,2,11,4,22,0
2020-04-15,15/04/2020,12,Guerrero,Gro,1,1,29,0,59,0
2020-04-15,15/04/2020,12,Guerrero,Gro,1,2,7,4,6,0
2020-04-15,15/04/2020,12,Guerrero,Gro,2,1,36,0,48,0
2020-04-15,15/04/2020,12,Guerrero,Gro,2,2,28,4,12,0
