yearm,CVE_construccion,anio,mes,month,codigo_actividad,descripcion_actividad,codigo_entidad,entidad,vp_total_entidad,unidad_medida,estatus,Tipo,vp_total_entidad_1
01/07/2013,1,2013,7,julio,23,Construcción,14,Jalisco,1107880.934154,Miles de pesos constantes,Cifras definitivas,Edificación,1732946.880124
01/08/2013,1,2013,8,agosto,23,Construcción,14,Jalisco,1526602.205003,Miles de pesos constantes,Cifras definitivas,Edificación,1673602.414099
01/09/2013,1,2013,9,septiembre,23,Construcción,14,Jalisco,1269196.458582,Miles de pesos constantes,Cifras definitivas,Edificación,1263679.534086
01/10/2013,1,2013,10,octubre,23,Construcción,14,Jalisco,1148631.352767,Miles de pesos constantes,Cifras definitivas,Edificación,1160909.273795
01/11/2013,1,2013,11,noviembre,23,Construcción,14,Jalisco,1286470.116476,Miles de pesos constantes,Cifras definitivas,Edificación,1207858.277365
01/12/2013,1,2013,12,diciembre,23,Construcción,14,Jalisco,1387733.373113,Miles de pesos constantes,Cifras definitivas,Edificación,1288895.484103
01/01/2014,1,2014,1,enero,23,Construcción,14,Jalisco,1047534.569239,Miles de pesos constantes,Cifras definitivas,Edificación,898065.650635
01/02/2014,1,2014,2,febrero,23,Construcción,14,Jalisco,1008975.699874,Miles de pesos constantes,Cifras definitivas,Edificación,930201.293958
01/03/2014,1,2014,3,marzo,23,Construcción,14,Jalisco,1124366.173562,Miles de pesos constantes,Cifras definitivas,Edificación,1103214.06387
01/04/2014,1,2014,4,abril,23,Construcción,14,Jalisco,1010875.445693,Miles de pesos constantes,Cifras definitivas,Edificación,1232978.423467
01/05/2014,1,2014,5,mayo,23,Construcción,14,Jalisco,1248606.844452,Miles de pesos constantes,Cifras definitivas,Edificación,1099640.900375
01/06/2014,1,2014,6,junio,23,Construcción,14,Jalisco,1150903.455826,Miles de pesos constantes,Cifras definitivas,Edificación,1074410.577928
01/07/2014,1,2014,7,julio,23,Construcción,14,Jalisco,1075365.936265,Miles de pesos constantes,Cifras definitivas,Edificación,1107880.934154
01/08/2014,1,2014,8,agosto,23,Construcción,14,Jalisco,1296009.537086,Miles de pesos constantes,Cifras definitivas,Edificación,1526602.205003
01/09/2014,1,2014,9,septiembre,23,Construcción,14,Jalisco,1220841.99874,Miles de pesos constantes,Cifras definitivas,Edificación,1269196.458582
01/10/2014,1,2014,10,octubre,23,Construcción,14,Jalisco,1109858.313523,Miles de pesos constantes,Cifras definitivas,Edificación,1148631.352767
01/11/2014,1,2014,11,noviembre,23,Construcción,14,Jalisco,1095274.091446,Miles de pesos constantes,Cifras definitivas,Edificación,1286470.116476
01/12/2014,1,2014,12,diciembre,23,Construcción,14,Jalisco,1507141.550984,Miles de pesos constantes,Cifras definitivas,Edificación,1387733.373113
01/01/2015,1,2015,1,enero,23,Construcción,14,Jalisco,1242185.227403,Miles de pesos constantes,Cifras definitivas,Edificación,1047534.569239
01/02/2015,1,2015,2,febrero,23,Construcción,14,Jalisco,1100398.216823,Miles de pesos constantes,Cifras definitivas,Edificación,1008975.699874
01/03/2015,1,2015,3,marzo,23,Construcción,14,Jalisco,1701824.813138,Miles de pesos constantes,Cifras definitivas,Edificación,1124366.173562
01/04/2015,1,2015,4,abril,23,Construcción,14,Jalisco,1543430.451816,Miles de pesos constantes,Cifras definitivas,Edificación,1010875.445693
01/05/2015,1,2015,5,mayo,23,Construcción,14,Jalisco,1728082.716308,Miles de pesos constantes,Cifras definitivas,Edificación,1248606.844452
01/06/2015,1,2015,6,junio,23,Construcción,14,Jalisco,1465543.675464,Miles de pesos constantes,Cifras definitivas,Edificación,1150903.455826
01/07/2015,1,2015,7,julio,23,Construcción,14,Jalisco,1323867.548556,Miles de pesos constantes,Cifras definitivas,Edificación,1075365.936265
01/08/2015,1,2015,8,agosto,23,Construcción,14,Jalisco,1994139.870437,Miles de pesos constantes,Cifras definitivas,Edificación,1296009.537086
01/09/2015,1,2015,9,septiembre,23,Construcción,14,Jalisco,2251356.963156,Miles de pesos constantes,Cifras definitivas,Edificación,1220841.99874
01/10/2015,1,2015,10,octubre,23,Construcción,14,Jalisco,1554826.222375,Miles de pesos constantes,Cifras definitivas,Edificación,1109858.313523
01/11/2015,1,2015,11,noviembre,23,Construcción,14,Jalisco,1325554.252914,Miles de pesos constantes,Cifras definitivas,Edificación,1095274.091446
01/12/2015,1,2015,12,diciembre,23,Construcción,14,Jalisco,1204558.018251,Miles de pesos constantes,Cifras definitivas,Edificación,1507141.550984
01/01/2016,1,2016,1,enero,23,Construcción,14,Jalisco,2007471.421496,Miles de pesos constantes,Cifras definitivas,Edificación,1242185.227403
01/02/2016,1,2016,2,febrero,23,Construcción,14,Jalisco,2028435.396301,Miles de pesos constantes,Cifras definitivas,Edificación,1100398.216823
01/03/2016,1,2016,3,marzo,23,Construcción,14,Jalisco,1238026.496578,Miles de pesos constantes,Cifras definitivas,Edificación,1701824.813138
01/04/2016,1,2016,4,abril,23,Construcción,14,Jalisco,1388670.746703,Miles de pesos constantes,Cifras definitivas,Edificación,1543430.451816
01/05/2016,1,2016,5,mayo,23,Construcción,14,Jalisco,1386480.39725,Miles de pesos constantes,Cifras definitivas,Edificación,1728082.716308
01/06/2016,1,2016,6,junio,23,Construcción,14,Jalisco,1380183.108843,Miles de pesos constantes,Cifras definitivas,Edificación,1465543.675464
01/07/2016,1,2016,7,julio,23,Construcción,14,Jalisco,1337649.323405,Miles de pesos constantes,Cifras definitivas,Edificación,1323867.548556
01/08/2016,1,2016,8,agosto,23,Construcción,14,Jalisco,1525181.075676,Miles de pesos constantes,Cifras definitivas,Edificación,1994139.870437
01/09/2016,1,2016,9,septiembre,23,Construcción,14,Jalisco,1379300.834062,Miles de pesos constantes,Cifras definitivas,Edificación,2251356.963156
01/10/2016,1,2016,10,octubre,23,Construcción,14,Jalisco,1334200.950155,Miles de pesos constantes,Cifras definitivas,Edificación,1554826.222375
01/11/2016,1,2016,11,noviembre,23,Construcción,14,Jalisco,1463605.724373,Miles de pesos constantes,Cifras definitivas,Edificación,1325554.252914
01/12/2016,1,2016,12,diciembre,23,Construcción,14,Jalisco,1516285.966308,Miles de pesos constantes,Cifras definitivas,Edificación,1204558.018251
01/01/2017,1,2017,1,enero,23,Construcción,14,Jalisco,1286591.666,Miles de pesos constantes,Cifras definitivas,Edificación,2007471.421496
01/02/2017,1,2017,2,febrero,23,Construcción,14,Jalisco,1407354.688914,Miles de pesos constantes,Cifras definitivas,Edificación,2028435.396301
01/03/2017,1,2017,3,marzo,23,Construcción,14,Jalisco,1503679.812171,Miles de pesos constantes,Cifras definitivas,Edificación,1238026.496578
01/04/2017,1,2017,4,abril,23,Construcción,14,Jalisco,1738806.990864,Miles de pesos constantes,Cifras definitivas,Edificación,1388670.746703
01/05/2017,1,2017,5,mayo,23,Construcción,14,Jalisco,1833148.006868,Miles de pesos constantes,Cifras definitivas,Edificación,1386480.39725
01/06/2017,1,2017,6,junio,23,Construcción,14,Jalisco,2076418.226225,Miles de pesos constantes,Cifras definitivas,Edificación,1380183.108843
01/07/2017,1,2017,7,julio,23,Construcción,14,Jalisco,1411774.693367,Miles de pesos constantes,Cifras definitivas,Edificación,1337649.323405
01/08/2017,1,2017,8,agosto,23,Construcción,14,Jalisco,1491444.483823,Miles de pesos constantes,Cifras definitivas,Edificación,1525181.075676
01/09/2017,1,2017,9,septiembre,23,Construcción,14,Jalisco,1457003.412271,Miles de pesos constantes,Cifras definitivas,Edificación,1379300.834062
01/10/2017,1,2017,10,octubre,23,Construcción,14,Jalisco,1416899.259684,Miles de pesos constantes,Cifras definitivas,Edificación,1334200.950155
01/11/2017,1,2017,11,noviembre,23,Construcción,14,Jalisco,1224749.427668,Miles de pesos constantes,Cifras definitivas,Edificación,1463605.724373
01/12/2017,1,2017,12,diciembre,23,Construcción,14,Jalisco,2026524.2549,Miles de pesos constantes,Cifras definitivas,Edificación,1516285.966308
01/01/2018,1,2018,1,enero,23,Construcción,14,Jalisco,1285629.153764,Miles de pesos constantes,Cifras definitivas,Edificación,1286591.666
01/02/2018,1,2018,2,febrero,23,Construcción,14,Jalisco,1165374.66418,Miles de pesos constantes,Cifras definitivas,Edificación,1407354.688914
01/03/2018,1,2018,3,marzo,23,Construcción,14,Jalisco,1288317.293423,Miles de pesos constantes,Cifras definitivas,Edificación,1503679.812171
01/04/2018,1,2018,4,abril,23,Construcción,14,Jalisco,1325304.846376,Miles de pesos constantes,Cifras definitivas,Edificación,1738806.990864
01/05/2018,1,2018,5,mayo,23,Construcción,14,Jalisco,1703542.120361,Miles de pesos constantes,Cifras definitivas,Edificación,1833148.006868
01/06/2018,1,2018,6,junio,23,Construcción,14,Jalisco,1185915.401657,Miles de pesos constantes,Cifras definitivas,Edificación,2076418.226225
01/07/2018,1,2018,7,julio,23,Construcción,14,Jalisco,1544516.875411,Miles de pesos constantes,Cifras definitivas,Edificación,1411774.693367
01/08/2018,1,2018,8,agosto,23,Construcción,14,Jalisco,1966861.975674,Miles de pesos constantes,Cifras definitivas,Edificación,1491444.483823
01/09/2018,1,2018,9,septiembre,23,Construcción,14,Jalisco,1283891.870727,Miles de pesos constantes,Cifras definitivas,Edificación,1457003.412271
01/10/2018,1,2018,10,octubre,23,Construcción,14,Jalisco,1561366.607671,Miles de pesos constantes,Cifras definitivas,Edificación,1416899.259684
01/11/2018,1,2018,11,noviembre,23,Construcción,14,Jalisco,1163765.920611,Miles de pesos constantes,Cifras definitivas,Edificación,1224749.427668
01/12/2018,1,2018,12,diciembre,23,Construcción,14,Jalisco,1848734.834575,Miles de pesos constantes,Cifras definitivas,Edificación,2026524.2549
01/01/2019,1,2019,1,enero,23,Construcción,14,Jalisco,1311949.314145,Miles de pesos constantes,Cifras definitivas,Edificación,1285629.153764
01/02/2019,1,2019,2,febrero,23,Construcción,14,Jalisco,1224585.321041,Miles de pesos constantes,Cifras definitivas,Edificación,1165374.66418
01/03/2019,1,2019,3,marzo,23,Construcción,14,Jalisco,1410604.435763,Miles de pesos constantes,Cifras definitivas,Edificación,1288317.293423
01/04/2019,1,2019,4,abril,23,Construcción,14,Jalisco,1115162.147146,Miles de pesos constantes,Cifras definitivas,Edificación,1325304.846376
01/05/2019,1,2019,5,mayo,23,Construcción,14,Jalisco,1219532.358528,Miles de pesos constantes,Cifras definitivas,Edificación,1703542.120361
01/06/2019,1,2019,6,junio,23,Construcción,14,Jalisco,1023591.955645,Miles de pesos constantes,Cifras definitivas,Edificación,1185915.401657
01/07/2019,1,2019,7,julio,23,Construcción,14,Jalisco,983577.67894,Miles de pesos constantes,Cifras definitivas,Edificación,1544516.875411
01/08/2019,1,2019,8,agosto,23,Construcción,14,Jalisco,1268949.217051,Miles de pesos constantes,Cifras definitivas,Edificación,1966861.975674
01/09/2019,1,2019,9,septiembre,23,Construcción,14,Jalisco,1192340.119577,Miles de pesos constantes,Cifras definitivas,Edificación,1283891.870727
01/10/2019,1,2019,10,octubre,23,Construcción,14,Jalisco,1177903.678173,Miles de pesos constantes,Cifras definitivas,Edificación,1561366.607671
01/11/2019,1,2019,11,noviembre,23,Construcción,14,Jalisco,1355158.351936,Miles de pesos constantes,Cifras definitivas,Edificación,1163765.920611
01/12/2019,1,2019,12,diciembre,23,Construcción,14,Jalisco,1254626.362545,Miles de pesos constantes,Cifras definitivas,Edificación,1848734.834575
01/01/2020,1,2020,1,enero,23,Construcción,14,Jalisco,1171652.484381,Miles de pesos constantes,Cifras definitivas,Edificación,1311949.314145
01/02/2020,1,2020,2,febrero,23,Construcción,14,Jalisco,1166250.245475,Miles de pesos constantes,Cifras definitivas,Edificación,1224585.321041
01/03/2020,1,2020,3,marzo,23,Construcción,14,Jalisco,1028763.873226,Miles de pesos constantes,Cifras definitivas,Edificación,1410604.435763
01/04/2020,1,2020,4,abril,23,Construcción,14,Jalisco,888479.78165,Miles de pesos constantes,Cifras definitivas,Edificación,1115162.147146
01/05/2020,1,2020,5,mayo,23,Construcción,14,Jalisco,835470.963366,Miles de pesos constantes,Cifras definitivas,Edificación,1219532.358528
01/06/2020,1,2020,6,junio,23,Construcción,14,Jalisco,874811.796447,Miles de pesos constantes,Cifras definitivas,Edificación,1023591.955645
01/07/2020,1,2020,7,julio,23,Construcción,14,Jalisco,912796.699063,Miles de pesos constantes,Cifras definitivas,Edificación,983577.67894
01/08/2020,1,2020,8,agosto,23,Construcción,14,Jalisco,777697.134781,Miles de pesos constantes,Cifras definitivas,Edificación,1268949.217051
01/09/2020,1,2020,9,septiembre,23,Construcción,14,Jalisco,815313.955982,Miles de pesos constantes,Cifras definitivas,Edificación,1192340.119577
01/10/2020,1,2020,10,octubre,23,Construcción,14,Jalisco,767337.811799,Miles de pesos constantes,Cifras definitivas,Edificación,1177903.678173
01/11/2020,1,2020,11,noviembre,23,Construcción,14,Jalisco,790440.581544,Miles de pesos constantes,Cifras definitivas,Edificación,1355158.351936
01/12/2020,1,2020,12,diciembre,23,Construcción,14,Jalisco,827703.902474,Miles de pesos constantes,Cifras definitivas,Edificación,1254626.362545
01/01/2021,1,2021,1,enero,23,Construcción,14,Jalisco,859032.160647,Miles de pesos constantes,Cifras definitivas,Edificación,1171652.484381
01/02/2021,1,2021,2,febrero,23,Construcción,14,Jalisco,838624.488662,Miles de pesos constantes,Cifras definitivas,Edificación,1166250.245475
01/03/2021,1,2021,3,marzo,23,Construcción,14,Jalisco,932205.093179,Miles de pesos constantes,Cifras definitivas,Edificación,1028763.873226
01/04/2021,1,2021,4,abril,23,Construcción,14,Jalisco,988361.7256379999,Miles de pesos constantes,Cifras definitivas,Edificación,888479.78165
01/05/2021,1,2021,5,mayo,23,Construcción,14,Jalisco,987090.5623240001,Miles de pesos constantes,Cifras definitivas,Edificación,835470.963366
01/06/2021,1,2021,6,junio,23,Construcción,14,Jalisco,800572.43495,Miles de pesos constantes,Cifras definitivas,Edificación,874811.796447
01/07/2021,1,2021,7,julio,23,Construcción,14,Jalisco,987702.074572,Miles de pesos constantes,Cifras definitivas,Edificación,912796.699063
01/08/2021,1,2021,8,agosto,23,Construcción,14,Jalisco,816633.502634,Miles de pesos constantes,Cifras definitivas,Edificación,777697.134781
01/09/2021,1,2021,9,septiembre,23,Construcción,14,Jalisco,981938.921777,Miles de pesos constantes,Cifras definitivas,Edificación,815313.955982
01/10/2021,1,2021,10,octubre,23,Construcción,14,Jalisco,1199099.601486,Miles de pesos constantes,Cifras definitivas,Edificación,767337.811799
01/11/2021,1,2021,11,noviembre,23,Construcción,14,Jalisco,1134470.290536,Miles de pesos constantes,Cifras definitivas,Edificación,790440.581544
